Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal
08.2.2016,500.0,500.0,500.0,500.0,500.00000019911795,500.0,500.0,500.0,9.869481232271937e-09,-2.1260948301460303e-05,,99.99998282912857,,Sell
05.2.2016,500.0,500.0,500.0,500.0,500.0000001801543,500.0,500.0,500.0,9.869481232271937e-09,-1.9686063183144142e-05,,99.99998405420946,,Sell
04.2.2016,500.0,500.0,500.0,500.0,500.00000016299674,500.0,500.0,500.0,9.869481232271937e-09,-1.822783622174029e-05,,99.99998519178457,,Sell
03.2.2016,500.0,500.0,500.0,500.0,500.0000001474732,500.0,500.0,500.0,9.869481232271937e-09,-1.6877626080713526e-05,,99.99998624810432,,Sell
02.2.2016,500.0,500.0,500.0,500.0,500.0000001334281,500.0,500.0,500.0,9.869481232271937e-09,-1.5627431480425003e-05,,99.99998722897264,,Sell
01.2.2016,500.0,500.0,500.0,500.0,500.00000012072064,500.0,500.0,500.0,9.869481232271937e-09,-1.4469843904407753e-05,,99.99998813977895,,Sell
29.1.2016,500.0,500.0,500.0,500.0,500.00000010922344,500.0,500.0,500.0,9.869481232271937e-09,-1.3398003602560493e-05,,99.99998898552766,,Sell
28.1.2016,500.0,500.0,500.0,500.0,500.0000000988212,500.0,500.0,500.0,9.869481232271937e-09,-1.2405558891259716e-05,,99.99998977086577,,Sell
27.1.2016,500.0,500.0,500.0,500.0,500.00000008940964,500.0,500.0,500.0,9.869481232271937e-09,-1.1486628636703244e-05,,99.99999050010828,,Sell
26.1.2016,500.0,500.0,500.0,500.0,500.00000008089444,500.0,500.0,500.0,9.869481232271937e-09,-1.0635767239364213e-05,,99.99999117726205,,Sell
25.1.2016,500.0,500.0,500.0,500.0,500.00000007319017,500.0,500.0,500.0,9.869481232271937e-09,-9.847932574302831e-06,,99.99999180604769,,Sell
22.1.2016,500.0,500.0,500.0,500.0,500.0000000662196,500.0,500.0,500.0,9.869481232271937e-09,-9.11845609152806e-06,,99.99999238992007,,Sell
21.1.2016,500.0,500.0,500.0,500.0,500.00000005991296,500.0,500.0,500.0,9.869481232271937e-09,-8.443014849035535e-06,,99.99999293208727,,Sell
20.1.2016,500.0,500.0,500.0,500.0,500.00000005420696,500.0,500.0,500.0,9.869481232271937e-09,-7.817606274329592e-06,,99.99999343552825,,Sell
