Name,Date,PoslednaCena,Max,Min,ProsecnaCena,%Prom,Kolicina,Promet,Vkupno
FUBT,08.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,07.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,06.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,05.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,04.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,01.11.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,31.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,30.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,29.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,28.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,25.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,24.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,22.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,21.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,18.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,17.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,16.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,15.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,14.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,10.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,09.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,08.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,07.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,04.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,03.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,02.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,01.10.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,30.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,27.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,26.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,25.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,24.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,23.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,20.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,19.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,18.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,17.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,16.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,13.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,12.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,11.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,10.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,06.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,05.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,04.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,03.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,02.9.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,30.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,29.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,27.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,26.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,23.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,22.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,21.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,20.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,19.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,16.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,15.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,14.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,13.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,12.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,09.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,08.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,07.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,06.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,05.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,01.8.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,31.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,30.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,29.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,26.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,25.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,24.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,23.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,22.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,19.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,18.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,17.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,16.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,15.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,12.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,11.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,10.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,09.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,08.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,05.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
FUBT,04.7.2024,2101.0,2101.0,2101.0,2101.0,0.0,0.0,0.0,0.0
